wave,norm
4202.4263,840.7013362994818
4203.3931,840.8086331713986
4204.3599,840.9171319762173
4205.3296,841.0271526073407
4206.2969,841.138083766494
4207.2671,841.2505232954159
4208.2349,841.3638470689788
4209.2051,841.478606356829
4210.1738,841.5943307465743
4211.1421,841.7111376452938
4212.1133,841.8294188789516
4213.082,841.9485069248603
4214.0537,842.0690682403285
4215.0229,842.1904108128803
4215.9951,842.3132136213228
4216.9648,842.4367723992816
4217.9351,842.5614686777467
4218.9077,842.6875153819232
4219.8784,842.8143586117976
4220.8516,842.94256406448
4221.8223,843.0714629194275
4222.7959,843.2017627429032
4223.7676,843.3328126438907
4224.7393,843.4648559256773
4225.7134,843.5982124204568
4226.6855,843.73227045092
4227.6602,843.8676553837266
4228.6328,844.0037053115061
4229.6079,844.141054473328
4230.5806,844.2790030886441
4231.5542,844.4180073131025
4232.5298,844.5582186797345
4233.5034,844.6990527170103
4234.48,844.8412245002913
4235.4541,844.9839245286669
4236.4307,845.1278757761834
4237.4053,845.2724061976509
4238.3799,845.4178003339042
4239.3574,845.5644853174547
4240.3325,845.7116571924429
4241.3105,845.8601072606241
4242.2861,846.0090224795513
4243.2642,846.1591417248035
4244.2407,846.309827740652
4245.2168,846.4612541475672
4246.1958,846.6139269211612
4247.1729,846.7670897418785
4248.1519,846.9213293011755
4249.1294,847.0761015106722
4250.1094,847.2320320008362
4251.0869,847.3883163947829
4252.0649,847.5454232698104
4253.0454,847.7036685774654
4254.0239,847.8623179260045
4255.0049,848.0220928074652
4255.9834,848.1821702769723
4256.9648,848.3434255962017
4257.9443,848.505062623911
4258.9263,848.6677995781729
4259.9058,848.8307994265966
4260.8857,848.9945342037072
4261.8687,849.1594502685499
4262.8491,849.3245835354653
4263.832,849.4907846255164
4264.813,849.6573018941966
4265.7964,849.8248575083572
4266.7778,849.9926940162331
4267.7593,850.1611606546886
4268.7432,850.3306464644764
4269.7256,850.5004724399832
4270.71,850.6712360700279
4271.6924,850.8422355339316
4272.6772,851.0142291416818
4273.6606,851.1865462402304
4274.6436,851.3593526832786
4275.6294,851.5332052631234
4276.6128,851.7071795216846
4277.5991,851.8822057753432
4278.583,852.0573362486338
4279.5698,852.233507076646
4280.5542,852.4097648796364
4281.5391,852.586619876194
4282.5264,852.7644079632571
4283.5117,852.9423296479595
4284.499,853.1210997902572
4285.4849,853.3000958084833
4286.4731,853.4799827439177
4287.459,853.6599159277223
4288.4453,853.840379522475
4289.4346,854.0218443636252
4290.4214,854.2032947453264
4291.4106,854.3856244220302
4292.3979,854.5680340301832
4293.3877,854.7513297861823
4294.3755,854.9346716370038
4295.3633,855.1184225358346
4296.3535,855.3030234448163
4297.3423,855.4877596170523
4298.333,855.6732409762587
4299.3218,855.8587492240504
4300.3135,856.0451786259096
4301.3027,856.2315074859425
4302.292,856.4182174731314
4303.2842,856.6058319587364
4304.2744,856.7934182198953
4305.2666,856.9817273786076
4306.2573,857.1700888354316
4307.25,857.3591617240533
4308.2412,857.548273149421
4309.2319,857.7376064479431
4310.2261,857.9279210367248
4311.2173,858.1179664802473
4312.2114,858.3088675605514
4313.2036,858.4996966251606
4314.1982,858.691274586581
4315.1904,858.8826706127118
4316.1836,859.0745337432319
4317.1787,859.2670328278404
4318.1719,859.4594266063042
4319.1675,859.6525420907441
4320.1611,859.8455198828676
4321.1572,860.0392280923742
4322.1514,860.2328052662643
4323.146,860.4266927080691
4324.1426,860.6211972007668
4325.1377,860.8156299086937
4326.1348,861.0106689660514
4327.1299,861.2055261031713
4328.1279,861.4011552745775
4329.1235,861.596511943978
4330.1196,861.7921588446251
4331.1182,861.9884839467618
4332.1143,862.1844985757336
4333.1133,862.3812598057707
4334.1104,862.5778168921513
4335.1099,862.7750120234764
4336.1069,862.9718728979418
4337.1069,863.1694801045383
4338.1045,863.3667612317865
4339.1025,863.5642641177267
4340.103,863.7623995540828
4341.1016,863.9602909304348
4342.1025,864.1587652793817
4343.1016,864.3570043746663
4344.103,864.5558165298385
4345.1025,864.7543627287179
4346.1021,864.9530347590261
4347.104,865.1522650703415
4348.104,865.3512134009914
4349.1069,865.550829717938
4350.1074,865.7500541023069
4351.1104,865.9498572166641
4352.1113,866.1493177506925
4353.1128,866.3489686143773
4354.1167,866.5491639948285
4355.1182,866.748941768947
4356.1226,866.9493543153806
4357.1245,867.1493193269519
4358.1294,867.3499297236997
4359.1318,867.5500827717926
4360.1348,867.7503925844181
4361.1401,867.9511940892228
4362.1436,868.1516636635706
4363.1494,868.3526157036582
4364.1528,868.5531065432851
4365.1592,868.7542105607023
4366.1636,868.9549240734558
4367.168,869.1556421822102
4368.1753,869.3569399116491
4369.1802,869.5577536302598
4370.1875,869.7590380768708
4371.1929,869.9599295707831
4372.2007,870.1612828896963
4373.2065,870.3622145623546
4374.2129,870.5632397133958
4375.2212,870.7646136026497
4376.228,870.9656529008164
4377.2368,871.1670522108784
4378.2441,871.3681085381006
4379.2534,871.5695162500892
4380.2612,871.7705727212165
4381.2686,871.9714934275937
4382.2793,872.1730119628188
4383.2871,872.373888035904
4384.2979,872.5752935808445
4385.3066,872.7762083012393
4386.3179,872.9775643019825
4387.3267,873.1783421784294
4388.3359,873.3791154390814
4389.3481,873.580397002411
4390.3579,873.7811091005781
4391.3701,873.982201950498
4392.3804,874.1828173920236
4393.3936,874.3839046154804
4394.4043,874.5843880781325
4395.415,874.7847603592287
4396.4287,874.9856120072276
4397.4399,875.1858495112191
4398.4541,875.3865582343832
4399.4658,875.5866460274628
4400.4805,875.7871969508778
4401.4927,875.987120296078
4402.5054,876.1870054679129
4403.5205,876.3872233808919
4404.5337,876.5869223187924
4405.5493,876.7869462282072
4406.5625,876.9863463169049
4407.5786,877.1861621152541
4408.5928,877.3854461011565
4409.6069,877.584549088131
4410.624,877.7840756909904
4411.6387,877.9829631394716
4412.6558,878.1821489859448
4413.6709,878.3807682052671
4414.6885,878.5796979350256
4415.7041,878.7780551537766
4416.7227,878.9768129699614
4417.7388,879.1748949023035
4418.7549,879.3727858956697
4419.7739,879.5710468295189
4420.7905,879.7686433107862
4421.8101,879.966621717098
4422.8271,880.1638915549777
4423.8472,880.3615553219473
4424.8647,880.5585054241575
4425.8828,880.7553589502171
4426.9033,880.9524600806697
4427.9219,881.1489752623856
4428.9429,881.345731051081
4429.9619,881.5418765621715
4430.9834,881.7382750087788
4432.0024,881.9339622840395
4433.022,882.1295315957027
4434.0444,882.3254010149467
4435.0645,882.5205906076746
4436.0874,882.7160733532337
4437.1079,882.9108526925398
4438.1309,883.1058611891193
4439.1519,883.3002382378219
4440.1733,883.494438747651
4441.1968,883.688782441944
4442.2188,883.8825829777688
4443.2432,884.0765770370701
4444.2651,884.2698342330242
4445.29,884.4633920270409
4446.3125,884.6562279172688
4447.3354,884.8488683273636
4448.3613,885.0417991466832
4449.3843,885.2339084012417
4450.4106,885.4263578619413
4451.4341,885.618001133101
4452.4609,885.8099778715223
4453.4849,886.0011450887379
4454.5098,886.1921920569708
4455.5366,886.3833017517591
4456.5615,886.57376469068
4457.5894,886.7644887900516
4458.6147,886.9544326359049
4459.6431,887.1446498125009
4460.6689,887.3340836727772
4461.6953,887.5233239348137
4462.7241,887.7126990409621
4463.7505,887.9013233718644
4464.7798,888.0901686468778
4465.8071,888.2783334327631
4466.8369,888.4666397327425
4467.8643,888.6541895218669
4468.8921,888.8414929065713
4469.9229,889.0290201749102
4470.9512,889.2157685943171
4471.9819,889.402626196326
4473.0107,889.5888113153278
4474.0425,889.7752083342435
4475.0718,889.9608215933526
4476.1011,890.1461013185495
4477.1333,890.331566321619
4478.1631,890.5162622894259
4479.1958,890.7011377841487
4480.2266,890.8853312793586
4481.2593,891.069520084737
4482.2905,891.2530959008726
4483.3213,891.4362538422586
4484.3555,891.6196659469153
4485.3872,891.8022837850855
4486.4214,891.9849907792086
4487.4536,892.166990094009
4488.4883,892.3490733486825
4489.521,892.5304468419423
4490.5537,892.7114613488048
4491.5889,892.8925522616247
4492.6226,893.0730178347732
4493.6582,893.2534499645741
4494.6919,893.4331851302401
4495.7285,893.6130559688909
4496.7627,893.7921411474899
4497.7998,893.9713567659667
4498.8345,894.1497853190265
4499.8696,894.3279093791008
4500.9072,894.506087413968
4501.9424,894.6834766197732
4502.9805,894.8609836171638
4504.0166,895.0377687728874
4505.0552,895.2145983631084
4506.0913,895.3906198589834
4507.1279,895.5663428121808
4508.1675,895.7421878671048
4509.2046,895.9172232509408
4510.2446,896.0923589464261
4511.2822,896.2667010043643
4512.3223,896.4410715524126
4513.3604,896.6147147788862
4514.3984,896.7879485920342
4515.4395,896.961304260964
4516.4785,897.1339142922108
4517.52,897.3065416125216
4518.5591,897.4783729702651
4519.6011,897.6502835040419
4520.6406,897.8213810938558
4521.6807,897.9921761128029
4522.7236,898.1630268944836
4523.7642,898.3330967125754
4524.8071,898.5031364404249
4525.8481,898.6724601500008
4526.8916,898.8417822804856
4527.9331,899.0103714805904
4528.9746,899.1785518159211
4530.019,899.3467890261998
4531.061,899.5142282441651
4532.106,899.6817360339186
4533.1489,899.8484935703162
4534.1938,900.0151557201449
4535.2373,900.1811790677305
4536.2803,900.3467072011745
