jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,N_baseline,pre_or_post,zpdiff,C,sys_unc_factor,poor_conditions
2459030.8524306,4.709053180471717,7.208169250622852,ZTF_g,1,4341201,74,-1,26.2832,0,1,0
2459033.7313194,13.772671829860826,14.428253270511378,ZTF_g,1,4341201,74,-1,26.336,0,1,0
2459033.8172106,12.905426907730355,9.14680619847904,ZTF_r,1,4341202,349,-1,26.3972,1,1,0
2459036.7185532,9.153047340468195,9.110540497484214,ZTF_g,1,4341201,74,-1,26.3771,0,1,0
2459036.7897106,24.196469203069924,5.727626448214008,ZTF_r,1,4341202,349,-1,26.4154,1,1,0
2459039.7705324,13.138170200095956,3.395593358217069,ZTF_r,1,4341202,349,-1,26.4193,1,1,0
2459039.8397569,7.356491312714157,5.566272785206209,ZTF_g,1,4341201,74,-1,26.3739,0,1,0
2459042.745081,12.218670286897392,2.36420700920964,ZTF_r,1,4341202,349,-1,26.3536,1,1,0
2459042.7965394,5.308593059470156,2.9785513475384016,ZTF_g,1,4341201,74,-1,26.2689,0,1,0
2459045.7123611,14.198010432177863,2.5265472915755294,ZTF_r,1,4341202,349,-1,26.4063,1,1,0
2459045.7662269,1.3104661842557452,2.295715808763732,ZTF_g,1,4341201,74,-1,26.4049,0,1,0
2459048.7435764,11.536015682742619,2.4117725854124967,ZTF_r,1,4341202,349,-1,26.4236,1,1,0
2459048.7759722,5.1967257635487965,2.4143733448705156,ZTF_g,1,4341201,74,-1,26.4021,0,1,0
2459051.7951273,2.462946959345591,3.3105927659512044,ZTF_g,1,4341201,74,-1,26.3057,0,1,0
2459051.8544213,11.276198955421654,3.803250596208539,ZTF_r,1,4341202,349,-1,26.3941,1,1,0
2459054.7513773,6.815575015120912,2.9186791588922865,ZTF_g,1,4341201,74,-1,26.3491,0,1,0
2459057.7538079,4.62828699902609,4.477646051092241,ZTF_g,1,4341201,74,-1,26.3391,0,1,0
2459064.7113194,-3.2347111890719384,12.6879194336148,ZTF_g,1,4341201,74,-1,26.3123,0,1,0
2459064.8099537,-0.9156851940417391,12.695012579650971,ZTF_r,1,4341202,349,-1,26.3019,1,1,0
2459067.7891667,4.646624174926415,5.057489042964805,ZTF_r,1,4341202,349,-1,26.3833,1,1,0
2459070.6909954,5.3816108319642195,2.4038696192023274,ZTF_r,1,4341202,349,-1,26.4295,1,1,0
2459075.6882986,4.113459499313413,3.254140467995116,ZTF_g,1,4341201,74,-1,26.1875,0,1,0
2459075.7301505,12.830754336411731,3.4723957490695483,ZTF_r,1,4341202,349,-1,26.2958,1,1,0
2459094.6720486,2.499777630803547,9.352175262736424,ZTF_g,1,4341201,74,-1,26.2024,0,1,0
2459094.774537,-11.137221142679168,13.27356659108041,ZTF_r,1,4341202,349,-1,26.0958,1,1,0
2459114.6697106,11.524220380789831,6.890936773002674,ZTF_r,1,4341202,349,-1,26.2155,1,1,0
2459114.6932639,-1.4787054197184542,7.00011122308477,ZTF_g,1,4341201,74,-1,26.0043,0,1,0
2459115.6488079,-2.669491812983882,6.083862917074689,ZTF_r,1,4341202,349,-1,26.3264,1,1,0
2459115.6907755,1.0784636046649738,6.672593691665821,ZTF_g,1,4341201,74,-1,26.1851,0,1,0
2459117.6073148,4.217376380718984,6.339076493916915,ZTF_r,1,4341202,349,-1,26.3315,1,1,0
2459117.7103009,2.7420040061804887,9.239676820385116,ZTF_g,1,4341201,74,-1,26.1442,0,1,0
